dataset,strategy,split,trial_index,class_index,class_name,predicted_index,predicted_name,is_correct,confidence,probabilities_json,waveform_png,saliency_png,probability_png,npz
BCIC_IV_2a,LOSO,Subject0,202,3,tongue,3,tongue,1,0.9993060827255249,"{""0"": 6.52681992505677e-05, ""1"": 0.00020183359447401017, ""2"": 0.00042686035158112645, ""3"": 0.9993060827255249}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial1_idx202.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial1_idx202.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial1_idx202.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial1_idx202.npz
BCIC_IV_2a,LOSO,Subject0,258,3,tongue,3,tongue,1,0.9991298317909241,"{""0"": 0.0002004062116611749, ""1"": 0.0002419899683445692, ""2"": 0.00042774551548063755, ""3"": 0.9991298317909241}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial2_idx258.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial2_idx258.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial2_idx258.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial2_idx258.npz
OpenBMI,KFold,Fold0,304,0,right hand,0,right hand,1,0.9998974800109863,"{""0"": 0.9998974800109863, ""1"": 0.0001025432429742068}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/OpenBMI/OpenBMI_Fold0_class0_trial0_idx304.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/OpenBMI/OpenBMI_Fold0_class0_trial0_idx304.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/OpenBMI/OpenBMI_Fold0_class0_trial0_idx304.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/OpenBMI/OpenBMI_Fold0_class0_trial0_idx304.npz
OpenBMI,KFold,Fold0,356,0,right hand,0,right hand,1,0.9998736381530762,"{""0"": 0.9998736381530762, ""1"": 0.00012635777238756418}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/OpenBMI/OpenBMI_Fold0_class0_trial1_idx356.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/OpenBMI/OpenBMI_Fold0_class0_trial1_idx356.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/OpenBMI/OpenBMI_Fold0_class0_trial1_idx356.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/OpenBMI/OpenBMI_Fold0_class0_trial1_idx356.npz
OpenBMI,KFold,Fold0,50,0,right hand,0,right hand,1,0.9998704195022583,"{""0"": 0.9998704195022583, ""1"": 0.00012961564061697572}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/OpenBMI/OpenBMI_Fold0_class0_trial2_idx50.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/OpenBMI/OpenBMI_Fold0_class0_trial2_idx50.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/OpenBMI/OpenBMI_Fold0_class0_trial2_idx50.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/OpenBMI/OpenBMI_Fold0_class0_trial2_idx50.npz
OpenBMI,KFold,Fold0,206,1,left hand,1,left hand,1,0.9998496770858765,"{""0"": 0.00015034734678920358, ""1"": 0.9998496770858765}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/OpenBMI/OpenBMI_Fold0_class1_trial0_idx206.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/OpenBMI/OpenBMI_Fold0_class1_trial0_idx206.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/OpenBMI/OpenBMI_Fold0_class1_trial0_idx206.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/OpenBMI/OpenBMI_Fold0_class1_trial0_idx206.npz
OpenBMI,KFold,Fold0,386,1,left hand,1,left hand,1,0.9997374415397644,"{""0"": 0.00026251596864312887, ""1"": 0.9997374415397644}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/OpenBMI/OpenBMI_Fold0_class1_trial1_idx386.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/OpenBMI/OpenBMI_Fold0_class1_trial1_idx386.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/OpenBMI/OpenBMI_Fold0_class1_trial1_idx386.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/OpenBMI/OpenBMI_Fold0_class1_trial1_idx386.npz
OpenBMI,KFold,Fold0,51,1,left hand,1,left hand,1,0.9994634985923767,"{""0"": 0.0005365433171391487, ""1"": 0.9994634985923767}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/OpenBMI/OpenBMI_Fold0_class1_trial2_idx51.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/OpenBMI/OpenBMI_Fold0_class1_trial2_idx51.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/OpenBMI/OpenBMI_Fold0_class1_trial2_idx51.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/OpenBMI/OpenBMI_Fold0_class1_trial2_idx51.npz
BCIC_IV_2b,LOSO,Subject0,557,0,left hand,0,left hand,1,0.997836172580719,"{""0"": 0.997836172580719, ""1"": 0.0021638101898133755}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial0_idx557.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial0_idx557.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial0_idx557.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial0_idx557.npz
BCIC_IV_2b,LOSO,Subject0,472,0,left hand,0,left hand,1,0.9971593618392944,"{""0"": 0.9971593618392944, ""1"": 0.0028406817000359297}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial1_idx472.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial1_idx472.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial1_idx472.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial1_idx472.npz
BCIC_IV_2b,LOSO,Subject0,347,0,left hand,0,left hand,1,0.997119665145874,"{""0"": 0.997119665145874, ""1"": 0.0028803537134081125}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial2_idx347.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial2_idx347.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial2_idx347.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2b/BCIC_IV_2b_Subject0_class0_trial2_idx347.npz
BCIC_IV_2b,LOSO,Subject0,252,1,right hand,1,right hand,1,0.9991480112075806,"{""0"": 0.0008520095725543797, ""1"": 0.9991480112075806}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial0_idx252.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial0_idx252.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial0_idx252.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial0_idx252.npz
BCIC_IV_2b,LOSO,Subject0,32,1,right hand,1,right hand,1,0.9990826845169067,"{""0"": 0.0009172811405733228, ""1"": 0.9990826845169067}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial1_idx32.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial1_idx32.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial1_idx32.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial1_idx32.npz
BCIC_IV_2b,LOSO,Subject0,559,1,right hand,1,right hand,1,0.999030351638794,"{""0"": 0.0009696433553472161, ""1"": 0.999030351638794}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial2_idx559.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial2_idx559.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial2_idx559.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2b/BCIC_IV_2b_Subject0_class1_trial2_idx559.npz
EEGMat,KFold,Fold0,569,0,healthy/control,0,healthy/control,1,0.9997292160987854,"{""0"": 0.9997292160987854, ""1"": 0.0002707461826503277}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/EEGMat/EEGMat_Fold0_class0_trial0_idx569.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/EEGMat/EEGMat_Fold0_class0_trial0_idx569.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/EEGMat/EEGMat_Fold0_class0_trial0_idx569.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/EEGMat/EEGMat_Fold0_class0_trial0_idx569.npz
EEGMat,KFold,Fold0,389,0,healthy/control,0,healthy/control,1,0.9996790885925293,"{""0"": 0.9996790885925293, ""1"": 0.0003208967100363225}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/EEGMat/EEGMat_Fold0_class0_trial1_idx389.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/EEGMat/EEGMat_Fold0_class0_trial1_idx389.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/EEGMat/EEGMat_Fold0_class0_trial1_idx389.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/EEGMat/EEGMat_Fold0_class0_trial1_idx389.npz
EEGMat,KFold,Fold0,329,0,healthy/control,0,healthy/control,1,0.9996587038040161,"{""0"": 0.9996587038040161, ""1"": 0.00034135382156819105}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/EEGMat/EEGMat_Fold0_class0_trial2_idx329.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/EEGMat/EEGMat_Fold0_class0_trial2_idx329.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/EEGMat/EEGMat_Fold0_class0_trial2_idx329.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/EEGMat/EEGMat_Fold0_class0_trial2_idx329.npz
EEGMat,KFold,Fold0,158,1,disease/condition,1,disease/condition,1,0.9996334314346313,"{""0"": 0.000366565102012828, ""1"": 0.9996334314346313}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/EEGMat/EEGMat_Fold0_class1_trial0_idx158.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/EEGMat/EEGMat_Fold0_class1_trial0_idx158.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/EEGMat/EEGMat_Fold0_class1_trial0_idx158.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/EEGMat/EEGMat_Fold0_class1_trial0_idx158.npz
EEGMat,KFold,Fold0,160,1,disease/condition,1,disease/condition,1,0.999632716178894,"{""0"": 0.00036729444400407374, ""1"": 0.999632716178894}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/EEGMat/EEGMat_Fold0_class1_trial1_idx160.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/EEGMat/EEGMat_Fold0_class1_trial1_idx160.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/EEGMat/EEGMat_Fold0_class1_trial1_idx160.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/EEGMat/EEGMat_Fold0_class1_trial1_idx160.npz
EEGMat,KFold,Fold0,156,1,disease/condition,1,disease/condition,1,0.9996050000190735,"{""0"": 0.00039497000398114324, ""1"": 0.9996050000190735}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/EEGMat/EEGMat_Fold0_class1_trial2_idx156.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/EEGMat/EEGMat_Fold0_class1_trial2_idx156.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/EEGMat/EEGMat_Fold0_class1_trial2_idx156.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/EEGMat/EEGMat_Fold0_class1_trial2_idx156.npz
PhysioNet_MI,KFold,Fold0,5,0,left fist,0,left fist,1,0.9994221925735474,"{""0"": 0.9994221925735474, ""1"": 7.759279105812311e-05, ""2"": 0.00037314521614462137, ""3"": 0.00012703360698651522}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial0_idx5.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial0_idx5.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial0_idx5.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial0_idx5.npz
PhysioNet_MI,KFold,Fold0,40,0,left fist,0,left fist,1,0.9993162155151367,"{""0"": 0.9993162155151367, ""1"": 0.00011130404163850471, ""2"": 0.00039292097790166736, ""3"": 0.00017960794502869248}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial1_idx40.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial1_idx40.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial1_idx40.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial1_idx40.npz
PhysioNet_MI,KFold,Fold0,30,0,left fist,0,left fist,1,0.9990360736846924,"{""0"": 0.9990360736846924, ""1"": 8.753692964091897e-05, ""2"": 0.0005812547169625759, ""3"": 0.0002951307687908411}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial2_idx30.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial2_idx30.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial2_idx30.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/PhysioNet_MI/PhysioNet_MI_Fold0_class0_trial2_idx30.npz
PhysioNet_MI,KFold,Fold0,72,1,right fist,1,right fist,1,0.9977311491966248,"{""0"": 0.00015991907275747508, ""1"": 0.9977311491966248, ""2"": 0.0006493663531728089, ""3"": 0.0014596194960176945}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/PhysioNet_MI/PhysioNet_MI_Fold0_class1_trial0_idx72.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/PhysioNet_MI/PhysioNet_MI_Fold0_class1_trial0_idx72.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/PhysioNet_MI/PhysioNet_MI_Fold0_class1_trial0_idx72.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/PhysioNet_MI/PhysioNet_MI_Fold0_class1_trial0_idx72.npz
PhysioNet_MI,KFold,Fold0,69,1,right fist,1,right fist,1,0.9974318146705627,"{""0"": 0.0003501755418255925, ""1"": 0.9974318146705627, ""2"": 0.0012857262045145035, ""3"": 0.0009323491831310093}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/PhysioNet_MI/PhysioNet_MI_Fold0_class1_trial1_idx69.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/PhysioNet_MI/PhysioNet_MI_Fold0_class1_trial1_idx69.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/PhysioNet_MI/PhysioNet_MI_Fold0_class1_trial1_idx69.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/PhysioNet_MI/PhysioNet_MI_Fold0_class1_trial1_idx69.npz
